Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",-20.545641,14.761266,180.000000,top
"C2","100n","C_0402_1005Metric",-4.663395,17.220355,180.000000,top
"C3","15p","C_0402_1005Metric",-2.223395,-10.369645,180.000000,top
"C4","15p","C_0402_1005Metric",0.746605,-10.369645,0.000000,top
"C5","100n","C_0402_1005Metric",-17.980000,16.000000,180.000000,top
"C6","4.7u","C_0402_1005Metric_small_pads",2.151605,6.100355,0.000000,top
"C7","4.7u","C_0402_1005Metric_small_pads",2.151605,7.050355,0.000000,top
"C8","100n","C_0402_1005Metric",-8.848395,0.250355,180.000000,top
"C9","4.7u","C_0402_1005Metric",4.351605,6.550355,-90.000000,top
"C10","4.7u","C_0402_1005Metric",0.551605,-8.249645,-90.000000,top
"C11","100n","C_0402_1005Metric",7.151605,0.550355,0.000000,top
"C12","100n","C_0402_1005Metric",-1.848395,8.850355,90.000000,top
"C13","100n","C_0402_1005Metric",-2.148395,-8.249645,-90.000000,top
"C14","100n","C_0402_1005Metric",-5.018424,7.740638,135.000000,top
"C15","100n","C_0402_1005Metric",-8.848395,2.950355,180.000000,top
"C16","100n","C_0402_1005Metric",7.156605,-0.449645,0.000000,top
"C17","100n","C_0402_1005Metric",-8.848395,-2.149645,180.000000,top
"C18","100n","C_0402_1005Metric",6.651605,-4.449645,0.000000,top
"C19","22u","C_0805_2012Metric",9.500000,12.500000,90.000000,top
"C20","100n","C_0402_1005Metric",7.151605,4.350355,0.000000,top
"C21","100n","C_0402_1005Metric",-5.548395,-6.649645,180.000000,top
"C22","22u","C_0805_2012Metric",8.740951,16.735727,90.000000,top
"C24","10u","C_0805_2012Metric",-2.550000,-18.500000,0.000000,top
"C25","100n","C_0402_1005Metric",-2.520000,-17.000000,0.000000,top
"C30","100n","C_0402_1005Metric",-25.279074,14.416035,90.000000,top
"C31","100n","C_0402_1005Metric",-26.279074,14.416035,90.000000,top
"C33","10u","C_0805_2012Metric",6.000000,22.500000,0.000000,top
"D1","SS34","D_SMA",4.000000,19.500000,180.000000,top
"D2","SS34","D_SMA",4.000000,16.000000,180.000000,top
"L1","3.3u","L_pol_2016",2.151605,8.700355,0.000000,top
"L2","PA4332_222NLT","IND-SMD_L4.2-W4.2_PA4332",8.000000,8.500000,0.000000,top
"R1","10k","R0402",-20.501280,13.336243,90.000000,top
"R2","1k","R_0402_1005Metric",-0.648395,-8.254645,-90.000000,top
"R3","33","R_0402_1005Metric",4.351605,8.400355,-90.000000,top
"R4","1k","R_0402_1005Metric",4.261771,-10.044541,180.000000,top
"R5","5.1k","R_0402",-2.848395,22.050355,0.000000,top
"R6","1k","R_0402_1005Metric",-13.500000,16.000000,0.000000,top
"R7","27","R_0402_1005Metric",-0.848395,8.850355,-90.000000,top
"R8","27","R_0402_1005Metric",0.151605,8.850355,-90.000000,top
"R9","4.7k","R_0402_1005Metric",-16.669977,12.079985,0.000000,top
"R10","0","R_0402_1005Metric",-13.500000,14.754573,0.000000,top
"R11","4.7k","R_0402_1005Metric",-19.169977,12.079985,180.000000,top
"R12","5.1k","R_0402_1005Metric",1.000000,22.000000,0.000000,top
"R13","100k","R_0402_1005Metric",8.000000,12.490000,90.000000,top
"R24","4.7k","R_0402_1005Metric",-25.779074,8.416035,-90.000000,top
"R25","4.7k","R_0402_1005Metric",-26.779074,8.419953,-90.000000,top
"R26","4.7k","R_0402_1005Metric",-24.797223,8.431502,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",-7.423395,20.125355,-90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",8.151605,-8.949645,180.000000,top
"U1","RP2350_80QFN","RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias",-0.848395,0.050355,0.000000,top
"U2","LSM6DSV16XTR","LGA-14_L3.0-W2.5-P0.50-BR",-18.000000,14.000000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-7.848395,12.850355,0.000000,top
"U4","SMA-KWE_C20415790","SMA-TH_SMA-KWE",-0.656069,-23.999419,180.000000,top
"U5","GT-USB-7010ASV","USB-C-SMD_G-SWITCH_GT-USB-7010ASV",-0.248395,26.330355,180.000000,top
"U6","RA-01SH","WIRELM-SMD_RA-01SH",-14.000000,-17.000000,180.000000,top
"U7","TPS62162DSG","WSON-8_L2.0-W2.0-P0.50-TL-EP",6.050038,12.750064,-90.000000,top
"U8","BME280","LGA-8_BME280_BL",-25.779074,11.416035,-90.000000,top
"U10","MAX-M10S-00B","SMD-18_L10.1-W9.7-P1.10-TL_SKG09F",-17.300102,-1.000000,0.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",-0.848395,-13.949645,0.000000,top
