"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C8,C11,C12,C13,C14,C15,C16,C17,C18,C20,C21,C25,C30,C31","17","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3,C4","2","15p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6,C7","2","4.7u","","","","RP2350_80QFN_minimal:C_0402_1005Metric_small_pads","~"
"C9,C10","2","4.7u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C19,C22","2","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C24,C33","2","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","SS34","","","","PCM_JLCPCB:D_SMA","https://www.lcsc.com/datasheet/lcsc_datasheet_2407101107_MDD-Microdiode-Semiconductor-SS34_C8678.pdf"
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_2.7mm_M2.5","~"
"L1","1","3.3u","","","","RP2350_80QFN_minimal:L_pol_2016","~"
"L2","1","PA4332_222NLT","","","","footprint:IND-SMD_L4.2-W4.2_PA4332","https://atta.szlcsc.com/upload/public/pdf/source/20240402/61BDB77D4D18ED3E92D48B3E3FC24D43.pdf"
"R1","1","10k","","","","footprint:R0402","https://item.szlcsc.com/323315.html"
"R2,R4,R6","3","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","33","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5","1","5.1k","","","","PCM_JLCPCB:R_0402","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"R7,R8","2","27","","","","Resistor_SMD:R_0402_1005Metric","~"
"R9,R11,R24,R25,R26","5","4.7k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10","1","0","","","","Resistor_SMD:R_0402_1005Metric","~"
"R12","1","5.1k","","","","PCM_SparkFun-Resistor:R_0402_1005Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"R13","1","100k","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","~"
"U1","1","RP2350_80QFN","","","","RP2350_80QFN_minimal:RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias",""
"U2","1","LSM6DSV16XTR","","","","footprint:LGA-14_L3.0-W2.5-P0.50-BR","https://cn.bing.com/search?q=datasheet： BMI270"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","SMA-KWE_C20415790","","","","footprint:SMA-TH_SMA-KWE","https://img.jlc.com/pdf/applyPasteComponent/2021-12-16/101806Z/e51fb8aada7241678e9ed33d4be27789/%E5%AE%89%E7%89%B9%E5%BE%AERF-SMA%E5%BC%AF%E5%A4%B4.pdf"
"U5","1","GT-USB-7010ASV","","","","easyeda2kicad:USB-C-SMD_G-SWITCH_GT-USB-7010ASV",""
"U6","1","RA-01SH","","","","footprint:WIRELM-SMD_RA-01SH","https://item.szlcsc.com/2895574.html"
"U7","1","TPS62162DSG","","","","footprint:WSON-8_L2.0-W2.0-P0.50-TL-EP","https://www.ti.com/cn/lit/ds/symlink/tps61021a.pdf?ts=1620961904170"
"U8","1","BME280","","","","footprint:LGA-8_BME280_BL","https://item.szlcsc.com/93682.html"
"U10","1","MAX-M10S-00B","","","","footprint:SMD-18_L10.1-W9.7-P1.10-TL_SKG09F","https://cn.bing.com/search?q=datasheetSKG09F"
"Y1","1","ABM8-272-T3","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
