Comment,Designator,Footprint,LCSC,Quantity
0,R10,R_0402_1005Metric,C17168,1
100k,R13,R_0402_1005Metric,C25741,1
100n,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C2,C20,C21,C25,C30,C31,C5,C8",C_0402_1005Metric,C1525,17
10k,R1,R0402,C25744,1
10u,"C24,C33",C_0805_2012Metric,C15850,2
15p,"C3,C4",C_0402_1005Metric,C1548,2
1k,"R2,R4,R6",R_0402_1005Metric,C11702,3
22u,"C19,C22",C_0805_2012Metric,C45783,2
27,"R7,R8",R_0402_1005Metric,C25100,2
3.3u,L1,L_pol_2016,C42411119,1
33,R3,R_0402_1005Metric,C25105,1
4.7k,"R11,R14,R15,R16,R17,R24,R25,R26,R9",R_0402_1005Metric,C25900,9
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
5.1k,"R12,R5",R_0402_1005Metric,C25905,2
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
BME280,U8,LGA-8_BME280_BL,C92489,1
GT-USB-7010ASV,U5,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,C2988369,1
LSM6DSV16XTR,U2,LGA-14_L3.0-W2.5-P0.50-BR,C5267406,1
PA4332_222NLT,L2,IND-SMD_L4.2-W4.2_PA4332,C3222957,1
QWIIC/Stemma I2C,"U10,U9",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,2
RA-01SH,U6,WIRELM-SMD_RA-01SH,C2764087,1
RP2350_80QFN,U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,C42415655,1
S2B-PH-SM4-TB(LF)(SN),CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,C295747,1
SMA-KWE_C20415790,U4,SMA-TH_SMA-KWE,C20415790,1
SS34,"D1,D2",D_SMA,C8678,2
SW_Push,"SW1,SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C5504987,2
TPS62162DSG,U7,WSON-8_L2.0-W2.0-P0.50-TL-EP,C40256,1
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521,1
MountingHole,H1,MountingHole_2.7mm_M2.5,,1
MountingHole,H2,MountingHole_2.7mm_M2.5,,1
MountingHole,H3,MountingHole_2.7mm_M2.5,,1
