Comment,Designator,Footprint,LCSC,Quantity
100kΩ,R10,R0402,C25741,1
100nF,"C10,C16,C19,C2,C22,C23,C25,C3,C4,C5,C6,C7,C8,C9",C0402,C307331,14
10nF,C20,C0402,C15195,1
10uF,"C17,C24",C0402,C15525,2
15pF,"C14,C15",C0402,C1548,2
1kΩ,"R2,R3,R6",R0402,C11702,3
1uF,C26,C0402,C52923,1
2.2uF,C21,C0402,C12530,1
2.2uH,L5,IND-SMD_L2.0-W1.2_FTC201210S,C5832324,1
22kΩ,R9,R0402,C25768,1
22uF,C18,C0603,C59461,1
27Ω,"R4,R5",R0402,C25100,2
3.3uH,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
33Ω,R1,R0402,C25105,1
4.7kΩ,"R11,R12",R0402,C25900,2
4.7uF,"C1,C11,C12,C13",C0402,C23733,4
5.1kΩ,"R7,R8",R0402,C25905,2
ABM8-272-T3,U2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
BMP388,U6,SENSORM-SMD_BMP388,C779278,1
Button,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,2
ICM-40609-D,U5,LGA-24_L3.0-W3.0-P0.40-TL,C5360621,1
QWIIC,CN1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,1
RA-01SH,L2,WIRELM-SMD_RA-01SH,C2764087,1
RP2350A,U1,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,C42411118,1
SMA-KHD9,U7,SMA-SMD_SMA-KHD9,C20415780,1
TPS2121RUXR,U3,VQFN-HR-12_L2.5-W2.0-P0.50-BL,C485916,1
TPS62152RGTR,U4,TQFN-16_L3.0-W3.0-P0.50-TL-EP1.7,C2070611,1
USB-C 16P,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
W25Q16JVUXIQ,U8,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335,1
