Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,-16.741675,1.345231,180.0,top
C10,4.7u,C_0402_1005Metric,0.551605,-8.249645,-90.0,top
C11,100n,C_0402_1005Metric,7.151605,0.550355,0.0,top
C12,100n,C_0402_1005Metric,-1.848395,8.850355,90.0,top
C13,100n,C_0402_1005Metric,-2.148395,-8.249645,-90.0,top
C14,100n,C_0402_1005Metric,-5.018424,7.740638,135.0,top
C15,100n,C_0402_1005Metric,-8.848395,2.950355,180.0,top
C16,100n,C_0402_1005Metric,7.156605,-0.449645,0.0,top
C17,100n,C_0402_1005Metric,-8.848395,-2.149645,180.0,top
C18,100n,C_0402_1005Metric,6.651605,-4.449645,0.0,top
C19,22u,C_0805_2012Metric,9.5,12.5,90.0,top
C2,100n,C_0402_1005Metric,-4.663395,17.220355,180.0,top
C20,100n,C_0402_1005Metric,7.151605,4.350355,0.0,top
C21,100n,C_0402_1005Metric,-5.548395,-6.649645,180.0,top
C22,22u,C_0805_2012Metric,8.740951,16.735727,90.0,top
C24,10u,C_0805_2012Metric,-2.55,-18.5,0.0,top
C25,100n,C_0402_1005Metric,-2.52,-17.0,0.0,top
C3,15p,C_0402_1005Metric,-2.223395,-10.369645,180.0,top
C30,100n,C_0402_1005Metric,-21.475108,1.0,90.0,top
C31,100n,C_0402_1005Metric,-22.475108,1.0,90.0,top
C33,10u,C_0805_2012Metric,6.0,22.5,0.0,top
C4,15p,C_0402_1005Metric,0.746605,-10.369645,0.0,top
C5,100n,C_0402_1005Metric,-14.176034,2.583965,180.0,top
C6,4.7u,C_0402_1005Metric_small_pads,2.151605,6.100355,0.0,top
C7,4.7u,C_0402_1005Metric_small_pads,2.151605,7.050355,0.0,top
C8,100n,C_0402_1005Metric,-8.848395,0.250355,180.0,top
C9,4.7u,C_0402_1005Metric,4.351605,6.550355,-90.0,top
D1,SS34,D_SMA,4.0,19.5,180.0,top
D2,SS34,D_SMA,4.0,16.0,180.0,top
L1,3.3u,L_pol_2016,2.151605,8.700355,0.0,top
L2,PA4332_222NLT,IND-SMD_L4.2-W4.2_PA4332,8.0,8.5,0.0,top
R1,10k,R0402,-16.697314,-0.079792,90.0,top
R10,0,R_0402_1005Metric,-13.5,14.754573,0.0,top
R11,4.7k,R_0402_1005Metric,-15.366011,-1.33605,180.0,top
R12,5.1k,R_0402_1005Metric,1.0,22.0,0.0,top
R13,100k,R_0402_1005Metric,8.0,12.49,90.0,top
R14,4.7k,R_0402_1005Metric,-15.696034,16.199898,90.0,top
R15,4.7k,R_0402_1005Metric,-16.696034,16.199898,90.0,top
R16,4.7k,R_0402_1005Metric,-14.934685,9.194275,90.0,top
R17,4.7k,R_0402_1005Metric,-15.934685,9.194275,90.0,top
R2,1k,R_0402_1005Metric,-0.648395,-8.254645,-90.0,top
R24,4.7k,R_0402_1005Metric,-21.975108,-5.0,-90.0,top
R25,4.7k,R_0402_1005Metric,-22.975108,-4.996082,-90.0,top
R26,4.7k,R_0402_1005Metric,-20.993257,-4.984533,-90.0,top
R3,33,R_0402_1005Metric,4.351605,8.400355,-90.0,top
R4,1k,R_0402_1005Metric,2.610166,-8.594896,180.0,top
R5,5.1k,R_0402,-2.848395,22.050355,0.0,top
R6,1k,R_0402_1005Metric,-13.5,16.0,0.0,top
R7,27,R_0402_1005Metric,-0.848395,8.850355,-90.0,top
R8,27,R_0402_1005Metric,0.151605,8.850355,-90.0,top
R9,4.7k,R_0402_1005Metric,-12.866011,-1.33605,0.0,top
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,-7.423395,20.125355,-90.0,top
SW2,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,6.5,-7.5,180.0,top
U1,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,-0.848395,0.050355,0.0,top
U10,QWIIC/Stemma I2C,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,-20.821015,16.199898,-90.0,top
U2,LSM6DSV16XTR,LGA-14_L3.0-W2.5-P0.50-BR,-14.196034,0.583965,0.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-7.848395,12.850355,0.0,top
U4,SMA-KWE_C20415790,SMA-TH_SMA-KWE,-0.656069,-23.999419,180.0,top
U5,GT-USB-7010ASV,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,-0.248395,26.470355,180.0,top
U6,RA-01SH,WIRELM-SMD_RA-01SH,-14.0,-17.0,180.0,top
U7,TPS62162DSG,WSON-8_L2.0-W2.0-P0.50-TL-EP,6.050038,12.750064,-90.0,top
U8,BME280,LGA-8_BME280_BL,-21.975108,-2.0,-90.0,top
U9,QWIIC/Stemma I2C,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,-20.821015,9.199898,-90.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,-0.848395,-13.949645,0.0,top
