Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C0402,149.6,-109.62,90.0,top
C10,100nF,C0402,147.55,-109.62,90.0,top
C11,4.7uF,C0402,153.59,-98.94,90.0,top
C12,4.7uF,C0402_WIDE,150.97,-99.43,180.0,top
C13,4.7uF,C0402_WIDE,150.97,-98.74,180.0,top
C14,15pF,C0402,149.2,-110.87,0.0,top
C15,15pF,C0402,147.64,-111.33,180.0,top
C16,100nF,C0402,156.19,-95.76,180.0,top
C17,10uF,C0402,161.41,-98.39,90.0,top
C18,22uF,C0603,155.86,-99.59,180.0,top
C19,100nF,C0402,141.55,-112.49,90.0,top
C2,100nF,C0402,154.29,-103.6,180.0,top
C20,10nF,C0402,141.55,-110.93,-90.0,top
C21,2.2uF,C0402,144.389998,-110.31,-90.0,top
C22,100nF,C0402,141.986879,-90.302735,-135.0,top
C23,100nF,C0402,144.348615,-90.33102,-45.0,top
C24,10uF,C0402,154.48,-106.13,-90.0,top
C25,100nF,C0402,155.12,-106.13,-90.0,top
C3,100nF,C0402,143.6,-103.37,0.0,top
C4,100nF,C0402,147.35,-97.38,-90.0,top
C5,100nF,C0402,143.6,-100.99,0.0,top
C6,100nF,C0402,143.6,-105.37,0.0,top
C7,100nF,C0402,154.28,-107.74,180.0,top
C8,100nF,C0402,154.29,-101.37,180.0,top
C9,100nF,C0402,154.29,-104.34,180.0,top
CN1,QWIIC,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,167.47,-87.8875,180.0,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,150.97,-97.405,180.0,top
L2,RA-01SH,WIRELM-SMD_RA-01SH,165.03,-109.29,0.0,top
L5,2.2uH,IND-SMD_L2.0-W1.2_FTC201210S,155.88,-97.35,-90.0,top
R1,33Ω,R0402,153.59,-97.32,-90.0,top
R10,100kΩ,R0402,155.87,-98.77,180.0,top
R11,4.7kΩ,R0402,141.979808,-92.699826,135.0,top
R12,4.7kΩ,R0402,144.383971,-92.699827,-135.0,top
R2,1kΩ,R0402,148.8,-109.64,90.0,top
R3,1kΩ,R0402,151.04,-110.46,-90.0,top
R4,27Ω,R0402,148.18,-97.39,90.0,top
R5,27Ω,R0402,148.96,-97.39,90.0,top
R6,1kΩ,R0402,147.15,-99.5,180.0,top
R7,5.1kΩ,R0402,152.61,-93.01,90.0,top
R8,5.1kΩ,R0402,149.62,-93.01,90.0,top
R9,22kΩ,R0402,154.7,-95.76,0.0,top
REF**,M2_Hole,M2_Hole,158.39,-86.69,0.0,top
SW1,Button,SW-SMD_L3.9-W3.0-P4.45,143.94,-97.45,0.0,top
SW2,Button,SW-SMD_L3.9-W3.0-P4.45,153.07,-113.4,90.0,top
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,148.97,-104.17,0.0,top
U2,ABM8-272-T3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,148.75,-113.54,180.0,top
U3,TPS2121RUXR,VQFN-HR-12_L2.5-W2.0-P0.50-BL,155.445,-93.7,90.0,top
U4,TPS62152RGTR,TQFN-16_L3.0-W3.0-P0.50-TL-EP1.7,158.97,-98.2,0.0,top
U5,ICM-40609-D,LGA-24_L3.0-W3.0-P0.40-TL,143.79,-112.97,180.0,top
U6,BMP388,SENSORM-SMD_BMP388,143.174818,-91.504816,135.0,top
U7,SMA-KHD9,SMA-SMD_SMA-KHD9,172.2425,-96.37,180.0,top
USBC1,USB-C 16P,USB-C_SMD-TYPE-C-31-M-12_1,151.37,-88.67,180.0,top
